"Name","eext__Installed_organization__r.eext__ExternalId__c","eext__Newest_package_version__r.eext__ExternalId__c","eext__Package_version__r.eext__ExternalId__c","eext__Version_differences__c"
"esbbvaretail--devt17 Dynamic Buttons Panel 1.74","a0o7Q000007vr3oQAA","a0r7Q000005MVStQAO","a0r7Q000005MVStQAO",""
"esbbvaretail--devt17 Message Bar 1.0","a0o7Q000007vr3oQAA","a0r7Q000005MVVWQA4","a0r7Q000005MVVMQA4","- Features:
 	 Allow a component to open from the banner instead of just a link.
    Allow banner text to be set in rich html (bold, underline, etc.)
 	 Allow a component to open from the banner instead of just a link.
    Allow banner text to be set in rich html (bold, underline, etc.)
- Bugfixes:
 	 Fixed error when the message value arrives later than the message bar rendering
 	 Fixed error when the message value arrives later than the message bar rendering"
"esbbvaretail--devt17 Chart Generator 1.3","a0o7Q000007vr3oQAA","a0r7Q000005MVPTQA4","a0r7Q000005MVPOQA4","- Features:
 	 Updated Chart.js library to version 3.91.
- Bugfixes:
 	 Fixed max length on tick labels."
"Client Solutions (Enterprise) Modal Template 1.5","a0o7Q000007vr3yQAA","a0r7Q000005MVLvQAO","a0r7Q000005MVLvQAO",""
"Client Solutions (Enterprise) Real Time Notifications Display 3.0","a0o7Q000007vr3yQAA","a0r7Q000005MVOvQAO","a0r7Q000005MVOvQAO",""
"Client Solutions (Enterprise) Chart Generator 1.31","a0o7Q000007vr3yQAA","a0r7Q000005MVPTQA4","a0r7Q000005MVPTQA4",""
"CIB Product Form 1.44","a0o7Q000007vr3tQAA","a0r7Q000005MVdGQAW","a0r7Q000005MVNbQAO","- Features:
 	 Improved confirm modal so its salesforce like
 	 The allLoaded variable of the GBL_Opportunity_Products_cmp component has become global.
The GBL_ShowModal_evt event has also become global
- Bugfixes:
 	 Fixed problem of mixed data when clicking on different products rapidly.
Fixed lack of minimun, maximum and default values control for rows on complex item tables
 	 Increased height of product editing mode"
"CIB Alerts Module 1.8","a0o7Q000007vr3tQAA","a0r7Q000005MVL3QAO","a0r7Q000005MVTqQAO","- Features:
- Bugfixes:"
"CIB Modal Template 1.5","a0o7Q000007vr3tQAA","a0r7Q000005MVLvQAO","a0r7Q000005MVLvQAO",""
"CIB Dynamic Buttons Panel 1.74","a0o7Q000007vr3tQAA","a0r7Q000005MVStQAO","a0r7Q000005MVStQAO",""
"CIB Dynamic Table Display 2.35","a0o7Q000007vr3tQAA","a0r7Q000005MVOHQA4","a0r7Q000005MVMGQA4","- Features:
 	 Added posibility to resize columns when the option is enabled through table configuration field
 	 Added posibility to resize columns when the option is enabled through table configuration field
 	 It has been made possible to group by a field and sort at the same time by another field not included in the group
 	 Added new functionality to reference a related object, determining its API Name and a logical condition to choose the desired record
 	 Modification of the Dynamic Header functionality for use in Summary tables
 	 Add demo directory with scratchInit for demos purpose
Add new permission set for Admin purpose
- Bugfixes:
 	 Changed the name of the location variable to loc in jQuery.resource
 	 Changed the name of the location variable to loc in jQuery.resource
 	 Fixed overflow visual bug when title is displayed on last row.
 	 Fixed overflow visual bug when title is displayed on last row.
 	 Fixed a bug that occurred in Firefox web browsers when applying a filter to tables dynamically
 	 The problem of ""Invalid Number Value"" shown in some Totals when some specific quantities are not filled, instead of filling with a ""0"", has been solved
 	 Upgrade of the jQuery library used in the package to 3.6.0.
 	 Change error when att recordIdList is empty"
"CIB Visit Kit 5.82","a0o7Q000007vr3tQAA","a0r7Q000005MVe4QAG","a0r7Q000005MVe4QAG","- Features:
- Bugfixes:"
"CIB Dynamic Form 1.31","a0o7Q000007vr3tQAA","a0r7Q000005MVMIQA4","a0r7Q000005MVgFQAW","- Features:
 	 Added fields to field config object to choose whether sections and subsections are expanded by default.
Keep field value when visibility conditions change
 	 A feature has been added in the Dynamic_Form_Modal_cmp that shows a counter of the characters used and the maximum number of characters also for fields found in parent objects and related records
 	 A feature has been added in the Dynamic_Form_Modal_cmp that shows a counter of the characters used and the maximum number of characters that can be used in the textArea and LongtextArea fields when editing them
- Bugfixes:
 	 Fixed error when saving records that have child relationships and certain conditions
 	 Update Standard currency component
Fixed currency format
Fixed Default Value functionality in LIST type fields
 	 A display problem with currency type fields has been fixed
 	 A bug where dynamic components weren't rendering correctly when collapsing/expanding sections has been fixed
 	 We have fixed a bug in the field visibility control. When the visibility of a field depends on several fields and among them there is one of type ""multiselect"", display errors occur"
"CIB Quick View Cards 4.39","a0o7Q000007vr3tQAA","a0r7Q000005MVLOQA4","a0r7Q000005MVLTQA4","- Features:
 	 Added field that enables edit posibility on each field through metadata record
    Replaced standard datatable with custom with picklist support
    Editable fields can be of type lookup
    Picklist values can be of type lookup
    Added corresponding buttons and visual adjustments
 	 Possibility to fire an event when closing the add modal.
Improved general performance when initiating carousel.
Improved general UX when initiating carousel
- Bugfixes:
 	 Fixed simple mode error.
Added toast message error incompatible functionalities on simple mode
 	 Render Bug Fixes when component is inside dynamic forms component
 	 Change to a darker color of the card selected in the component."
"CIB Campaign 1.3","a0o7Q000007vr3tQAA","a0r7Q000005MVMrQAO","a0r7Q000005MVMrQAO",""
"CIB Real Time Notifications Display 3.0","a0o7Q000007vr3tQAA","a0r7Q000005MVOvQAO","a0r7Q000005MVOvQAO",""
"CIB Component Wrapper 1.3","a0o7Q000007vr3tQAA","a0r7Q000005MVb0QAG","a0r7Q000005MVb0QAG",""
"CIB Non Clients 1.73","a0o7Q000007vr3tQAA","a0r7Q000005MVfWQAW","a0r7Q000005MVfWQAW",""
"CIB Message Bar 1.0","a0o7Q000007vr3tQAA","a0r7Q000005MVVWQA4","a0r7Q000005MVVMQA4","- Features:
 	 Allow a component to open from the banner instead of just a link.
    Allow banner text to be set in rich html (bold, underline, etc.)
 	 Allow a component to open from the banner instead of just a link.
    Allow banner text to be set in rich html (bold, underline, etc.)
- Bugfixes:
 	 Fixed error when the message value arrives later than the message bar rendering
 	 Fixed error when the message value arrives later than the message bar rendering"
"CIB Template Builder 1.7","a0o7Q000007vr3tQAA","a0r7Q000005MVYGQA4","a0r7Q000005MVXnQAO","- Features:
 	 Added custom setting field 'Hide not editable fields' so these non editable fields hide when they are selected on the corresponding template builder field
 	 Changed footer buttons distribution
 	 Fixed footer separation with respect to modal.
Independent scrolling on first and second screens.
Spinners implementation to provide feedback to user when actions are being executed/ data is being loaded.
On first screen for recipients and related content columns.
On second screen between during transition and template rendering.
Control to have at least un recipient to send the email.
Optional validation through local class with respect to recipients, related content and email content.
Control on button to send email to not send more than one.
Disabled send button if no template is selected.
Replaced cancel button for back button to enable going back to first screen.
Custom messages on certain situations:
When user fails validations on isUserAllowed Function.
When there are no valid recipients.
When there is no related content.
Modal automatically closes when there are no templates available
Posibility to set non editable email fields (Subject, Introduction, Salutation…)
Default template in a folder.
Trigger to validate default template ( auxiliar content on repository )
General improvements on appearance (spaces and margins)
UX general improvements
Performance improvements and reduced server calls
Improvements over failed send email control and handle email result function
- Bugfixes:
 	 Fixed error when initiating component
 	 Fixed error when receiving an empty recipient category
 	 Fixed hardcoded string by custom label in error toast of handle email result.
Component closes when calls result in error.
Related context log with sent mail log"
"CIB Account Plan 3.60","a0o7Q000007vr3tQAA","a0r7Q000005S15pQAC","a0r7Q000005MVcNQAW","- Features:
 	 Improved UX question deletion process.
    New cloning process for Account Plans, Waves and Account Plan Types.
 	 It has been included that when blocking and unblocking Account Plans the notifications are filtered by Account Plan Type.
    The following process builders have been migrated to flows: Creation of Needs, Creation of Growth Drivers, Creation of Team Members.
- Bugfixes:
 	 Fix problem with deleting and editing questions.
 	 Fixed a problem in the GuidancesForSuccess Trigger Handler.
    Some Flows that had reached their version limit have been renewed.
 	 The sending of notifications through Chatter, which previously only worked for CIB's ORG, has been fixed.
    Account Plan record sharing has been fixed once the associated case validator is reassigned.
    Notification to the validator of an Account Plan when it is sent to validate has been fixed."
"CIB PDF Previewer 1.0","a0o7Q000007vr3tQAA","a0r7Q000005MVagQAG","a0r7Q000005MVagQAG",""
"CIB Pitch 1.5","a0o7Q000007vr3tQAA","a0r7Q000005MVUdQAO","a0r7Q000005MVUdQAO",""
"CIB Commercial Offer 1.0","a0o7Q000007vr3tQAA","a0r7Q000005MVOhQAO","a0r7Q000005MVOhQAO",""
"CIB Business Plan 3.12","a0o7Q000007vr3tQAA","a0r7Q000005MVZOQA4","a0r7Q000005MVZOQA4",""
"CIB Guidance for Success 1.3","a0o7Q000007vr3tQAA","a0r7Q000005MVLCQA4","a0r7Q000005MVL7QAO","- Features:
- Bugfixes:"
"CIB Custom Team 1.31","a0o7Q000007vr3tQAA","a0r7Q000005MVVHQA4","a0r7Q000005MVPFQA4","- Features:
- Bugfixes:"
"CIB Chart Generator 1.3","a0o7Q000007vr3tQAA","a0r7Q000005MVPTQA4","a0r7Q000005MVPOQA4","- Features:
 	 Updated Chart.js library to version 3.91.
- Bugfixes:
 	 Fixed max length on tick labels."
